acronym;title;ranksys;rank;field;gs_publication;gs_query_used;gs_match_stage;h5_index;h5_median;gs_smilarity
EMNLP;Empirical Methods in Natural Language Processing;CORE2023;A*;Artificial intelligence;Conference on Empirical Methods in Natural Language Processing (EMNLP);empirical methods natural language processing;MATCH;218;323;0.827586
ER;International Conference on Conceptual Modelling;CORE2023;A;Data management and data science;International Conference on Conceptual Modeling;international conference conceptual modelling;MATCH;24;29;0.989474
ESANN;European Symposium on Artificial Neural Networks;CORE2023;B;Machine learning;European Symposium on Artificial Neural Networks (ESANN);european symposium artificial neural networks;MATCH;17;31;0.941176
ESWC;Extended Semantic Web Conference;CORE2023;B;Data management and data science;Extended Semantic Web Conference;extended semantic web conference;MATCH;31;44;1.000000
EUROGP;European Conference on Genetic Programming;CORE2023;B;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
EvoApplications;International Conference on Applications of Evolutionary Computation;CORE2023;B;Artificial intelligence;International Conference on Applications of Evolutionary Computation;international conference applications evolutionary computation;MATCH;19;27;1.000000
EvoCOP;European Conference on Evolutionary Computation in Combinatorial Optimisation;CORE2023;B;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
FAST;Conference on File and Storage Technologies;CORE2023;A;Data management and data science;Conference on File and Storage Technologies (FAST);conference file storage technologies;MATCH;40;67;0.945055
FG;IEEE International Conference on Automatic Face and Gesture Recognition;CORE2023;B;Computer vision and multimedia computation;IEEE International Conference on Automatic Face & Gesture Recognition;ieee international conference automatic face gesture recognition;MATCH;40;60;0.971014
FOGA;Foundations of Genetic Algorithms;CORE2023;A;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
FOIS;International Conference on Formal Ontology in Information Systems;CORE2023;B;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
FSR;International Conference on Field and Service Robotics;CORE2018;A;Artificial intelligence;NA;NA;NO MATCH;NA;NA;NA
FUZZ-IEEE;IEEE International Conference on Fuzzy Systems;CORE2023;B;Artificial intelligence;IEEE International Conference on Fuzzy Systems (FUZZ);ieee international conference fuzzy systems;MATCH;25;34;0.948454
GECCO;Genetic and Evolutionary Computations;CORE2023;A;Artificial intelligence;Conference on Genetic and Evolutionary Computation;genetic evolutionary computations;MATCH;49;65;0.827586
ICAART;International Conference on Agents and Artificial Intelligence;CORE2023;B;Artificial intelligence;International Conference on Agents and Artificial Intelligence (ICAART);international conference agents artificial intelligence;MATCH;24;30;0.946565
ICAPS;International Conference on Automated Planning and Scheduling;CORE2023;A*;Artificial intelligence;International Conference on Automated Planning and Scheduling (ICAPS);international conference automated planning scheduling;MATCH;33;55;0.953125
ICASSP;IEEE International Conference on Acoustics, Speech and Signal Processing;CORE2023;B;Computer vision and multimedia computation;IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP);ieee international conference acoustics speech signal processing;MATCH;137;203;0.953020
ICCCI;International Conference on Computational Collective Intelligence;CORE2023;B;Artificial intelligence;International Conference on Computational Collective Intelligence (ICCCI);international conference computational collective intelligence;MATCH;14;18;0.955882
